gmlid,shape
DEHE06200002pElI,Rectangle
DEHE06200000yoAt,T-Shape
DEHE06200000yobv,Rectangle
DEHE06200000ymIS,Unknown
DEHE06200000yq0r,Rectangle
DEHE06200001OCFm,Unknown
DEHE06200000ylgO,L-Shape
DEHE06200000ykRx,T-Shape
DEHE062000027333,Rectangle
DEHE06200000ymBH,Unknown
DEHE06200000xykR,Unknown
DEHE06200002brzu,T-Shape
DEHE06200001x1lB,T-Shape
DEHE06200000ynoY,Unknown
DEHE06200000xyG8,Unknown
DEHE06200001F8lT,T-Shape
DEHE06200000yqZu,Unknown
DEHE062000002DZU,Unknown
DEHE06120000OW5s,T-Shape
DEHE062000002CFS,L-Shape
DEHE06120000OW6C,Unknown
DEHE062000002CFy,Unknown
DEHE06120000OW5e,Rectangle
DEHE06200000rg3A,Unknown
DEHE06200001Xmhz,Unknown
DEHE062000021oXy,Rectangle
DEHE06200000ncam,Rectangle
DEHE06200001PDmR,Rectangle
DEHE06200000sjVn,Unknown
DEHE06200000sgy3,T-Shape
DEHE06200000ymV2,Rectangle
DEHE06200000zAWL,Unknown
DEHE06200000ymVS,Rectangle
DEHE06200000smfA,Unknown
DEHE06200002bZP5,Unknown
DEHE062000002DvC,T-Shape
DEHE06200000smoZ,Unknown
DEHE06120001Qhc6,Rectangle
DEHE06200000slT0,Rectangle
DEHE062000002CFe,Unknown
DEHE06200000skyz,Rectangle
DEHE06120001YfdW,Rectangle
DEHE06120001rAIU,Rectangle
DEHE06120001Qhc8,Rectangle
DEHE06120001ZZOb,Rectangle
DEHE06120002dMrQ,T-Shape
DEHE06120000N7Xr,Unknown
DEHE06120000NjOA,Rectangle
DEHE06120001rAGd,Rectangle
DEHE06120001Qhc7,Rectangle
DEHE06120000NjO3,L-Shape
DEHE06120001HoKd,Unknown
DEHE06120002smB3,Unknown
DEHE06120002ldI3,Unknown
DEHE06120000N9sB,Unknown
DEHE06120000N9jo,Rectangle
DEHE06120002bfJH,Rectangle
DEHE06120000N9C6,L-Shape
DEHE06120000N9iH,Unknown
DEHE06120001ApMw,L-Shape
DEHE06120000N9qQ,L-Shape
DEHE06120000N9qv,T-Shape
DEHE06120001ApMt,Unknown
DEHE06120000Nf2r,Rectangle
DEHE06120000NeZQ,Rectangle
DEHE06200001nFe8,L-Shape
DEHE06120000NeZ6,Rectangle
DEHE06120000OpKt,Rectangle
DEHE06120001GeFL,Rectangle
DEHE06200001nFcs,Rectangle
DEHE06120000Oskg,Rectangle
DEHE06120000OsjS,Rectangle
DEHE06120000OW9k,Rectangle
DEHE06120001GeFO,Rectangle
DEHE06120001GeFK,Rectangle
DEHE06200001r41T,Rectangle
DEHE06200001nFl6,Unknown
DEHE06200001nFeQ,Unknown
DEHE06200001nFeI,Unknown
DEHE06200001nFdK,Rectangle
DEHE06200001iJyL,Rectangle
DEHE06200001nFf4,Unknown
DEHE06200001zJO5,Rectangle
DEHE06200001iJvI,Rectangle
DEHE06200001kLXQ,Rectangle
DEHE06200001CPHr,Rectangle
DEHE06200001nFbT,Rectangle
DEHE06200002xTKV,Rectangle
DEHE06200001kLYq,Rectangle
DEHE06200001kLYy,Unknown
DEHE06200001kLX1,Rectangle
DEHE06200001kLNr,Rectangle
DEHE06200001kMQX,Rectangle
DEHE06200001kNhS,Rectangle
DEHE06200001kLQr,Unknown
DEHE06200001kLWC,Unknown
DEHE06200001kLPY,Unknown
DEHE06200001kMkT,Rectangle
DEHE06200001mlCm,Unknown
DEHE06200001kl7e,T-Shape
DEHE06200002z50p,Rectangle
DEHE06200001kMin,Rectangle
DEHE06200001nFDN,Rectangle
DEHE06200001nFLZ,Unknown
DEHE06200002ps8n,Unknown
DEHE06200001mDGV,T-Shape
DEHE06200001nFa5,Rectangle
DEHE06200001nFHE,Rectangle
DEHE06200001mDKJ,Unknown
DEHE06200001mDMd,Rectangle
DEHE06200001nFy2,Rectangle
DEHE06200001nFhT,Unknown
DEHE061200000M9h,Rectangle
DEHE06200001mDHj,Unknown
DEHE06200001nFcb,Rectangle
DEHE06120000OVAg,L-Shape
